주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자,제공기관코드,제공기관명
345-2-000161,고산 선착장 주차장,공영,노외,,전남광주통합특별시 신안군 팔금면 당고리 20-2번지,27,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000160,안좌면사무소 주차장,공영,부설,,전남광주통합특별시 신안군 안좌면 읍동리 1131-1번지,40,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000159,화석박물관주차장4,공영,부설,,전남광주통합특별시 신안군 안좌면 대리 732번지,20,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000158,화석박물관주차장3,공영,부설,,전남광주통합특별시 신안군 안좌면 대리 741-1번지,10,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000157,화석박물관주차장2,공영,부설,,전남광주통합특별시 신안군 안좌면 대리 777-4번지,29,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000156,화석박물관주차장1,공영,부설,,전남광주통합특별시 신안군 안좌면 대리 755-1번지,15,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000155,김환기생가주차장,공영,부설,,전남광주통합특별시 신안군 안좌면 읍동리 962번지,5,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000154,자라도선착장,공영,노외,,전남광주통합특별시 신안군 안좌면 자라리 302-22번지,43,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000153,산불진화차고지 주차장,공영,노외,,전남광주통합특별시 신안군 안좌면 읍동리 1135번지,7,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000152,복호선착장,공영,노외,,전남광주통합특별시 신안군 안좌면 복호리 71번지,13,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000151,신안공영버스주차장(읍동선착장),공영,노외,,전남광주통합특별시 신안군 안좌면 읍동리 333-26번지,70,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000150,퍼플 마을공동 주차장3,공영,노외,,전남광주통합특별시 신안군 안좌면 소곡리 780-4번지,17,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000149,퍼플 마을공동 주차장2,공영,노외,,"전남광주통합특별시 신안군 안좌면 소곡리648, 649. 650-4번지",45,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,34.71850658,126.1182438,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000148,퍼플 마을공동 주차장1,공영,노외,,전남광주통합특별시 신안군 안좌면 소곡리 799-3~4번지,110,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000147,퍼플교주차장3,공영,노외,,전남광주통합특별시 신안군 안좌면 소곡리 694번지,48,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000146,퍼플교주차장2,공영,노외,,전남광주통합특별시 신안군 안좌면 소곡리 607번지,48,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000145,퍼플교주차장1,공영,노외,,전남광주통합특별시 신안군 안좌면 소곡리 599-4번지,40,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000144,남신안농협장산지점,공영,부설,,전남광주통합특별시 신안군 장산면 도창리 704번지,15,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000143,장산중학교,공영,부설,,전남광주통합특별시 신안군 장산면 도창리 780번지,18,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000142,장산초등학교,공영,부설,,전남광주통합특별시 신안군 장산면 대리 93-1번지,14,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000141,장산파출소,공영,부설,,전남광주통합특별시 신안군 장산면 도창리 669-1번지,3,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000140,장산복지회관,공영,부설,,전남광주통합특별시 신안군 장산면 도창리 679-1번지,25,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000139,장산면사무소,공영,부설,,전남광주통합특별시 신안군 장산면 도창리 661번지,12,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000138,장산도역사문화관,공영,노외,,전남광주통합특별시 신안군 장산면 대리 95-1번지,9,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000137,축강선착장,공영,노외,,전남광주통합특별시 신안군 장산면 팽진리 510-6번지,25,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000136,북강선착장,공영,노외,,전남광주통합특별시 신안군 장산면 오음리 3-18번지,33,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-5-000135,하은엔밥차,민영,부설,,전남광주통합특별시 신안군 신의면 상태동리 364-16번지,5,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000134,신의중학교,공영,부설,,전남광주통합특별시 신안군 신의면 상태동리 420-1번지,29,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000133,신의초등학교,공영,부설,,전남광주통합특별시 신안군 신의면 상태동리 29-5번지,13,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000132,신의면사무소,공영,노외,,전남광주통합특별시 신안군 신의면 상태동리 373-5번지,27,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000131,신의보건지소,공영,노외,,전남광주통합특별시 신안군 신의면 상태동리 373-3번지,17,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000130,신의면복지회관,공영,노외,,전남광주통합특별시 신안군 신의면 상태동리 373-37번지,26,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000129,삼도공원,공영,노외,,전남광주통합특별시 신안군 신의면 하태서리 산 83-2번지,10,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000128,동리선착장,공영,노외,,전남광주통합특별시 신안군 신의면 상태동리 1번지,46,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000127,김대중대통령생가,공영,부설,,전남광주통합특별시 신안군 하의면 후광리 87번지,30,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000126,농협마트,공영,부설,,전남광주통합특별시 신안군 하의면 웅곡리 242-7번지,4,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000125,하의면다목적강당,공영,노외,,전남광주통합특별시 신안군 하의면 웅곡리 251-48번지,11,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000124,하의면복지센터 주차장,공영,노외,,전남광주통합특별시 신안군 하의면 웅곡리 251-6번지,9,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000123,인동초체육관,공영,노외,,전남광주통합특별시 신안군 하의면 웅곡리 235번지,5,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000122,농민운동기념관,공영,노외,,전남광주통합특별시 신안군 하의면 대리 35-9번지,36,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000121,모래구미전,공영,노외,,전남광주통합특별시 신안군 하의면 어은리 산 268번지,8,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000120,하의유스호스텔,공영,부설,,전남광주통합특별시 신안군 하의면 후광리 101-3번지,10,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000119,큰바위얼굴앞,공영,노외,,전남광주통합특별시 신안군 하의면 어은리 567-3번지,9,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000118,모래구미입구,공영,노외,,전남광주통합특별시 신안군 하의면 어은리 482번지,12,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000117,당두선착장,공영,노외,,전남광주통합특별시 신안군 하의면 대리 522-57번지,10,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000116,신안종합운동장,공영,노외,,전남광주통합특별시 신안군 하의면 웅곡리 364-1번지,26,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000115,하의면보건지소,공영,노외,,전남광주통합특별시 신안군 하의면 웅곡리 251-45번지,6,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000114,하의면사무소,공영,노외,,전남광주통합특별시 신안군 하의면 웅곡리 247-2번지,11,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000113,웅곡선착장,공영,노외,,전남광주통합특별시 신안군 하의면 웅곡리 242-33번지,48,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000112,신안 철새 전시관,공영,부설,,전남광주통합특별시 신안군 흑산면 진리 488-15번지,2,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000111,흑산 현충답,공영,노외,,전남광주통합특별시 신안군 흑산면 사리 산 1-5번지,13,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000110,흑산예리터미널,공영,노외,,전남광주통합특별시 신안군 흑산면 예리 176-48번지,32,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000109,흑산면사무소,공영,노외,,전남광주통합특별시 신안군 흑산면 진리 314-1번지,6,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000108,문암공설운동장,공영,노외,,전남광주통합특별시 신안군 흑산면 진리 130번지,37,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000107,도초고등학교,공영,노외,,전남광주통합특별시 신안군 도초면 수항리 1468번지,68,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000106,도초면사무소,공영,노외,,전남광주통합특별시 신안군 도초면 수항리 1425-1번지,30,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000105,도초 농협 주차장,공영,노외,,전남광주통합특별시 신안군 도초면 수항리 1358-31번지,40,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000104,시목해수욕장,공영,노외,,전남광주통합특별시 신안군 도초면 오류리 116-1번지,60,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000103,신안공설운동장 주차장,공영,노외,,전남광주통합특별시 신안군 도초면 외남리 563-25번지,70,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000102,화도선착장주차장,공영,노외,,전남광주통합특별시 신안군 도초면 발매리 9번지,60,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000101,수국공원주차장,공영,노외,,전남광주통합특별시 신안군 도초면 지남리 1854-5번지,200,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-4-000100,대우병원 주차장,민영,노외,,전남광주통합특별시 신안군 비금면 수대리 57-1번지,17,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-4-000099,비금농협 주차장,민영,노외,,전남광주통합특별시 신안군 비금면 덕산리 142-2번지,24,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000098,선왕산등산로 주차장,공영,노외,,전남광주통합특별시 신안군 비금면 죽림리 75-6번지,19,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000097,이세돌바둑기념관 주차장,공영,노외,,전남광주통합특별시 신안군 비금면 지당리 1007-1번지,67,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000096,비금면사무소 주차장,공영,노외,,전남광주통합특별시 신안군 비금면 덕산리 87-1번지,21,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000095,비금면복지센터 주차장,공영,노외,,전남광주통합특별시 신안군 비금면 덕산리 105번지,72,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000094,가산선착장 주차장,공영,노외,,전남광주통합특별시 신안군 비금면 가산리 180-54번지,125,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000093,둔장체험마을,공영,부설,,전남광주통합특별시 신안군 자은면 한운리 산 231-2번지,20,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000092,신안자연휴양림 주차장,공영,부설,,전남광주통합특별시 신안군 자은면 백산리 산271 신안자연휴양림,91,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000091,자은면사무소 주차장,공영,부설,,전남광주통합특별시 신안군 자은면 구영리 386-2번지,15,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000090,무한의 다리 주차장,공영,노외,,전남광주통합특별시 신안군 자은면 한운리 산 231-2번지,38,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000089,두모체육공원 주차장,공영,노외,,전남광주통합특별시 신안군 자은면 송산리 산 65번지,30,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000088,백길해수욕장 주차장,공영,노외,,전남광주통합특별시 신안군 자은면 유각리 산 239번지,95,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000087,분계해수욕장 주차장,공영,노외,,전남광주통합특별시 신안군 자은면 백산리 883-1번지,27,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000086,임자 수도공원 주차장,공영,노외,,전남광주통합특별시 신안군 임자면 수도리 산10-5,10,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,35.08442336,126.1463951,Y,2026-08-04,5910000,전남광주통합특별시 신안군
